Year,Revenue_Growth%,OperatingIncome_Growth%,NetIncome_Growth%,EPS_Growth%,EBITDA_Growth%,FreeCashFlow_Growth%,PaymentVolume_Growth%,Transactions_Growth%,OperatingExpense_Growth%,Dividends_Growth%,Shares_Growth%,OperatingCashFlow_Growth%,Capex_Growth%,TotalAssets_Growth%,TotalLiabilities_Growth%,Equity_Growth%,Scenario
2022,,,,,,,,,,,,,,,,,Bear
2022,,,,,,,,,,,,,,,,,Base
2022,,,,,,,,,,,,,,,,,Bull
2023,11.4057,11.412,15.4844,18.2857,15.8126,10.1628,6.0345,10.7292,6.7505,17.109,-2.6204,10.1119,9.1753,5.8456,3.6979,8.8587,Base
2023,13.9057,13.412,17.4844,20.2857,15.8126,11.6628,6.0345,10.7292,6.7505,17.109,-2.6204,11.6119,9.1753,5.8456,3.6979,8.8587,Bull
2023,9.4057,9.812,13.8844,16.6857,15.8126,8.6628,6.0345,10.7292,6.7505,17.109,-2.6204,8.6119,9.1753,5.8456,3.6979,8.8587,Bear
2024,8.0236,8.114,12.6998,15.9121,13.1144,-6.5924,7.3171,9.9718,16.0616,12.4233,-2.5224,-5.3786,18.6969,4.4332,6.9698,1.043,Bear
2024,10.0236,9.714,14.2998,17.5121,13.1144,-5.0924,7.3171,9.9718,16.0616,12.4233,-2.5224,-3.8786,18.6969,4.4332,6.9698,1.043,Base
2024,12.5236,11.714,16.2998,19.5121,13.1144,-3.5924,7.3171,9.9718,16.0616,12.4233,-2.5224,-2.3786,18.6969,4.4332,6.9698,1.043,Bull
2025,13.84,12.3878,3.5955,6.8304,1.6099,16.9282,7.5758,10.1369,15.7862,9.8886,-2.3859,17.084,17.8998,5.4131,11.4566,-3.1377,Bull
2025,11.34,10.3878,1.5955,4.8304,1.6099,15.4282,7.5758,10.1369,15.7862,9.8886,-2.3859,15.584,17.8998,5.4131,11.4566,-3.1377,Base
2025,9.34,8.7878,-0.0045,3.2304,1.6099,13.9282,7.5758,10.1369,15.7862,9.8886,-2.3859,14.084,17.8998,5.4131,11.4566,-3.1377,Bear
2026,9.29,10.1521,13.9396,13.6274,14.3945,18.0841,5.6338,8.1165,4.491,8.006,0.3707,17.0129,1.417,2.4331,0.3289,3.4055,Base
2026,7.29,8.5521,12.3396,12.0274,14.3945,16.5841,5.6338,8.1165,4.491,8.006,0.3707,15.5129,1.417,2.4331,0.3289,3.4055,Bear
2026,11.79,12.1521,15.9396,15.6274,14.3945,19.5841,5.6338,8.1165,4.491,8.006,0.3707,18.5129,1.417,2.4331,0.3289,3.4055,Bull
2027,7.2026,7.6028,7.8119,7.3732,9.2012,8.5632,5.8,7.8197,9.2123,9.4106,0.4034,8.5178,9.2482,6.9397,11.0673,3.5918,Bear
2027,9.2026,9.2028,9.4119,8.9732,9.2012,10.0632,5.8,7.8197,9.2123,9.4106,0.4034,10.0178,9.2482,6.9397,11.0673,3.5918,Base
2027,11.7026,11.2028,11.4119,10.9732,9.2012,11.5632,5.8,7.8197,9.2123,9.4106,0.4034,11.5178,9.2482,6.9397,11.0673,3.5918,Bull
2028,6.7685,7.1685,7.0343,6.5552,8.7707,9.6115,5.482,7.2526,8.7645,8.6194,0.4371,9.482,8.7698,6.5828,8.9743,3.7727,Bear
2028,8.7685,8.7685,8.6343,8.1552,8.7707,11.1115,5.482,7.2526,8.7645,8.6194,0.4371,10.982,8.7698,6.5828,8.9743,3.7727,Base
2028,11.2685,10.7685,10.6343,10.1552,8.7707,12.6115,5.482,7.2526,8.7645,8.6194,0.4371,12.482,8.7698,6.5828,8.9743,3.7727,Bull
2029,6.3775,6.7753,6.7162,6.2331,8.3777,9.0459,5.1971,6.7621,8.3754,8.3221,0.4715,8.9265,8.3427,6.6594,7.9711,3.9416,Bear
2029,10.8775,10.3753,10.3162,9.8331,8.3777,12.0459,5.1971,6.7621,8.3754,8.3221,0.4715,11.9265,8.3427,6.6594,7.9711,3.9416,Bull
2029,8.3775,8.3753,8.3162,7.8331,8.3777,10.5459,5.1971,6.7621,8.3754,8.3221,0.4715,10.4265,8.3427,6.6594,7.9711,3.9416,Base
2030,6.0178,6.4175,6.387,5.8677,8.0173,8.5131,4.9404,6.3338,8.0208,7.9932,0.5069,8.4093,8.062,6.8852,7.3987,4.0981,Bear
2030,8.0178,8.0175,7.987,7.4678,8.0173,10.0131,4.9404,6.3338,8.0208,7.9932,0.5069,9.9093,8.062,6.8852,7.3987,4.0981,Base
2030,10.5178,10.0175,9.987,9.4677,8.0173,11.5131,4.9404,6.3338,8.0208,7.9932,0.5069,11.4093,8.062,6.8852,7.3987,4.0981,Bull
