Year,WACC,TerminalGrowth,Price
0,0.0632,0.03,500.87
1,0.0682,0.03,433.75
2,0.0732,0.03,382.18
3,0.0782,0.03,341.33
4,0.0832,0.03,308.18
5,0.0632,0.035,581.09
6,0.0682,0.035,491.86
7,0.0732,0.035,426.01
8,0.0782,0.035,375.42
9,0.0832,0.035,335.35
10,0.0632,0.04,695.9
11,0.0682,0.04,570.58
12,0.0732,0.04,483.04
13,0.0782,0.04,418.45
14,0.0832,0.04,368.82
15,0.0632,0.045,873.83
16,0.0682,0.045,683.26
17,0.0732,0.045,560.31
18,0.0782,0.045,474.43
19,0.0832,0.045,411.05
20,0.0632,0.05,1186.68
21,0.0682,0.05,857.88
22,0.0732,0.05,670.9
23,0.0782,0.05,550.27
24,0.0832,0.05,466.01
